lat,lon,id,DAYS_OF_OPERATION,HOURLY_RATE,MAX_TIME,HOURS_OF_OPERATION,TYPE_OF_METER
34.14606761,-118.1430157,1,Mon-Sat,1.25,1,7am-6pm,single-space
34.14663132,-118.1428589,2,Mon-Sat,1.25,1,7am-6pm,single-space
34.14669334,-118.1428583,3,Mon-Sat,1.25,1,7am-6pm,single-space
34.14675178,-118.1428598,4,Mon-Sat,1.25,1,7am-6pm,single-space
34.14671819,-118.1430233,5,Mon-Sat,1.25,1,7am-6pm,single-space
34.14665081,-118.1430239,6,Mon-Sat,1.25,1,7am-6pm,single-space
34.14659237,-118.1430231,7,Mon-Sat,1.25,1,7am-6pm,single-space
34.14653393,-118.1430251,8,Mon-Sat,1.25,1,7am-6pm,single-space
34.1464579,-118.1430207,9,Mon-Sat,1.25,1,7am-6pm,single-space
34.14643364,-118.1428564,10,Mon-Sat,1.25,1,7am-6pm,single-space
34.14638534,-118.1428556,11,Mon-Sat,1.25,1,7am-6pm,single-space
34.14640125,-118.1430199,12,Mon-Sat,1.25,1,7am-6pm,single-space
34.14615009,-118.1428552,13,Mon-Sat,1.25,1,7am-6pm,single-space
34.14240113,-118.1429901,14,Mon-Sat,1.25,1,9am-6pm,single-space
34.14264174,-118.1429912,15,Mon-Sat,1.25,1,9am-6pm,single-space
34.14286447,-118.1429959,16,Mon-Sat,1.25,1,9am-6pm,single-space
34.14291455,-118.1429981,17,Mon-Sat,1.25,1,9am-6pm,single-space
34.14298253,-118.1430004,18,Mon-Sat,1.25,1,9am-6pm,single-space
34.1430842,-118.143002,19,Mon-Sat,1.25,1,9am-6pm,single-space
34.14404966,-118.1430022,20,Mon-Sat,1.25,1,9am-6pm,single-space
34.14411048,-118.1430052,21,Mon-Sat,1.25,1,9am-6pm,single-space
34.14421245,-118.1430082,22,Mon-Sat,1.25,1,9am-6pm,single-space
34.14426433,-118.143009,23,Mon-Sat,1.25,1,9am-6pm,single-space
34.14432098,-118.1430106,24,Mon-Sat,1.25,1,9am-6pm,single-space
34.14434147,-118.142827,25,Mon-Sat,1.25,1,9am-6pm,single-space
34.14302806,-118.1428226,26,Mon-Sat,1.25,1,9am-6pm,single-space
34.14310558,-118.1428263,27,Mon-Sat,1.25,1,9am-6pm,single-space
34.14317804,-118.1428207,28,Mon-Sat,1.25,1,9am-6pm,single-space
34.14324781,-118.1428194,29,Mon-Sat,1.25,1,9am-6pm,single-space
34.14347263,-118.1428176,30,Mon-Sat,1.25,1,9am-6pm,single-space
34.14387872,-118.1428248,31,Mon-Sat,1.25,1,9am-6pm,single-space
34.14381372,-118.1428254,32,Mon-Sat,1.25,1,9am-6pm,single-space
34.14374932,-118.1428224,33,Mon-Sat,1.25,1,9am-6pm,single-space
34.14368671,-118.1428216,34,Mon-Sat,1.25,1,9am-6pm,single-space
34.14358325,-118.1428207,35,Mon-Sat,1.25,1,9am-6pm,single-space
34.1480743,-118.1444744,36,Mon-Sat,1.25,1,7am-5pm,multi-space
34.14810516,-118.144104,37,Mon-Sat,1.25,1,7am-5pm,multi-space
34.14716819,-118.1444668,38,Mon-Sat,1.25,1,7am-5pm,multi-space
34.14718355,-118.1440924,39,Mon-Sat,1.25,1,7am-5pm,multi-space
34.14637817,-118.1443736,40,Mon-Sat,1.25,0.5,7am-6pm,multi-space
34.1463969,-118.1441699,41,Mon-Sat,1.25,0.5,7am-6pm,multi-space
34.14793791,-118.1460769,42,Mon-Sat,1.25,2,7am-6pm,single-space
34.14806105,-118.1460757,43,Mon-Sat,1.25,2,7am-6pm,single-space
34.14812605,-118.1460779,44,Mon-Sat,1.25,2,7am-6pm,single-space
34.14853512,-118.1460801,45,Mon-Sat,1.25,2,7am-6pm,single-space
34.14859297,-118.1460802,46,Mon-Sat,1.25,2,7am-6pm,single-space
34.14865677,-118.146081,47,Mon-Sat,1.25,0.5,7am-6pm,single-space
34.14871909,-118.1460833,48,Mon-Sat,1.25,0.5,7am-6pm,single-space
34.14687558,-118.1463013,49,Mon-Sat,1.25,1,7am-6pm,single-space
34.14687787,-118.1463788,50,Mon-Sat,1.25,1,7am-6pm,single-space
34.1468754,-118.1464491,51,Mon-Sat,1.25,1,7am-6pm,single-space
34.14687589,-118.1465351,52,Mon-Sat,1.25,1,7am-6pm,single-space
34.14687402,-118.1466054,53,Mon-Sat,1.25,1,7am-6pm,single-space
34.14687373,-118.1468439,54,Mon-Sat,1.25,1,7am-6pm,single-space
34.14687483,-118.1469164,55,Mon-Sat,1.25,1,7am-6pm,single-space
34.14686773,-118.1473571,56,Mon-Sat,1.25,1,7am-6pm,single-space
34.14686765,-118.1474281,57,Mon-Sat,1.25,1,7am-6pm,single-space
34.14385278,-118.1460723,58,Mon-Fri,1.25,0.25,6am-6pm,single-space
34.14379493,-118.1460722,59,Mon-Fri,1.25,0.25,6am-6pm,single-space
34.14373172,-118.1460721,60,Mon-Fri,1.25,0.25,6am-6pm,single-space
34.14366434,-118.1460698,61,Mon-Fri,1.25,0.25,6am-6pm,single-space
34.14359994,-118.1460697,62,Mon-Fri,1.25,0.25,6am-6pm,single-space
34.14328717,-118.1460677,63,Mon-Fri,1.25,0.25,6am-6pm,single-space
34.14321591,-118.1460633,64,Mon-Fri,1.25,0.25,6am-6pm,single-space
34.14315151,-118.1460646,65,Mon-Fri,1.25,0.25,6am-6pm,single-space
34.14308889,-118.1460645,66,Mon-Fri,1.25,0.25,6am-6pm,single-space
34.14302598,-118.1460615,67,Mon-Fri,1.25,0.25,6am-6pm,single-space
34.14296099,-118.1460599,68,Mon-Fri,1.25,0.25,6am-6pm,single-space
34.14289837,-118.146057,69,Mon-Fri,1.25,0.25,6am-6pm,single-space
34.14589792,-118.1485047,70,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14756778,-118.1486129,71,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14756786,-118.1485441,72,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14756913,-118.1484795,73,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14756645,-118.1492036,74,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14756457,-118.1492818,75,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14756311,-118.149498,76,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14756228,-118.1496838,77,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14756151,-118.1498254,78,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14756084,-118.1498893,79,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14756134,-118.1499638,80,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14756065,-118.1500384,81,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
